date,FAKEA,FAKEB,FAKEC,THEME_ETF
2026-01-02,100.00,50.00,20.00,80.00
2026-01-05,101.20,50.30,20.40,80.50
2026-01-06,102.10,49.80,20.90,80.10
2026-01-07,101.60,50.50,21.30,80.90
2026-01-08,103.40,51.10,21.10,81.60
2026-01-09,104.10,51.00,21.80,81.40
2026-01-12,103.70,51.60,22.40,82.10
2026-01-13,105.30,52.20,22.10,82.80
2026-01-14,106.10,52.00,22.90,82.50
2026-01-15,105.80,52.70,23.40,83.20
2026-01-16,107.40,53.10,23.10,83.90
2026-01-20,108.20,52.80,23.80,83.60
2026-01-21,107.90,53.50,24.30,84.30
2026-01-22,109.60,54.00,24.10,85.00
2026-01-23,110.10,53.80,24.80,84.70
